time,ch1,ch2,ch3
82000.0,-60.575606030474106,-62.50492500953369,-64.5180031362655
82500.0,-60.127187722751884,-62.66334194538031,-64.99469285447064
83000.0,-63.00114142224429,-63.65344779442167,-64.32732724898345
83500.0,-64.30563104470893,-64.88117904723296,-65.01376044319885
84000.0,-65.38591151331245,-64.30691765478898,-64.17478653915781
84500.0,-65.46744211471649,-64.60394940950138,-64.09851618424499
85000.0,-63.40879442926449,-63.53463509253671,-64.19385412788601
85500.0,-64.87634525453721,-65.2772213868495,-65.22350391920912
86000.0,-63.55147298172156,-64.5445430585589,-65.71926122614246
86500.0,-66.56810523367103,-66.28712935287169,-65.92900470215272
87000.0,-66.486574632267,-66.1485145340059,-66.1959509443476
87500.0,-69.72741603807758,-67.91090294529953,-66.38662683162966
88000.0,-67.66876835262558,-66.34653570381417,-66.06247782325016
88500.0,-68.01527340859275,-67.0198076811623,-66.48196477527068
89000.0,-67.28149799595639,-67.17822461700892,-67.37814144549634
89500.0,-68.1579519610498,-68.22773681699276,-68.35058847063482
90000.0,-68.7490488212291,-68.6237791566093,-68.90354854375279
90500.0,-68.85096207298415,-67.77228812643374,-68.04550705098353
91000.0,-68.7694314715801,-68.30694528491607,-68.75100783392713
91500.0,-70.74654855562808,-69.17823843207248,-68.71287265647072
92000.0,-67.05728884209528,-66.18811876796755,-67.39720903422455
92500.0,-67.56685510087053,-67.27723520191306,-67.5688173327784
93000.0,-72.27524733195382,-68.92081091132171,-66.31035647671683
93500.0,-67.26111534560538,-67.0198076811623,-67.54974974405019
94000.0,-67.85221220578467,-67.2376309679514,-67.14933038075787
94500.0,-68.32101316385788,-67.05941191512396,-66.69170825128094
95000.0,-67.81144690508265,-67.13862038304727,-67.64508768769122
95500.0,-67.66876835262558,-66.70297380946907,-66.95865449347582
96000.0,-63.18458527540338,-64.04949013403822,-66.5200999527271
96500.0,-63.8368300866357,-64.68315787742469,-66.78704619492197
97000.0,-64.26486574400691,-64.20790706988484,-65.70019363741426
97500.0,-66.24198282805487,-65.97029548117845,-66.82518137237838
98000.0,-68.09680400999679,-67.11881826606644,-67.28280350185531
98500.0,-72.31601263265584,-67.47525637172133,-64.78494937846038
99000.0,-69.19746712895132,-68.04951776416532,-68.10270981716815
99500.0,-69.31976303105738,-68.1881325830311,-67.9501691073425
100000.0,-66.85346233858517,-67.09901614908561,-67.53068215532198
100500.0,-66.87384498893618,-67.13862038304727,-67.74042563133224
101000.0,-68.89172737368617,-68.12872623208862,-67.72135804260404
101500.0,-66.83307968823416,-66.46534840569913,-67.11119520330146
102000.0,-69.27899773035536,-68.28714316793524,-67.45441180040916
102500.0,-64.52984019857004,-65.47524255665778,-66.65357307382453
103000.0,-64.95787585594124,-66.2277230019292,-67.03492484838864
103500.0,-62.55272311452207,-64.22770918686567,-66.11968058943478
104000.0,-66.24198282805487,-67.51486060568298,-67.96923669607071
104500.0,-67.93374280718871,-68.08912199812697,-67.77856080878865
105000.0,-71.54147191931746,-67.53466272266381,-64.28919207152704
105500.0,-69.3605283317594,-68.70298762453261,-67.62602009896301
106000.0,-73.37591045090836,-71.0198353112894,-67.83576357497327
106500.0,-67.15920209385033,-68.4059558698202,-68.75100783392713
107000.0,-63.97950863909277,-67.35644366983637,-69.39930585068613
107500.0,-65.67126861822659,-67.85149659435704,-68.82727818883995
108000.0,-64.89672790488822,-66.32673358683334,-67.47347938913737
108500.0,-67.97450810789073,-68.76239397547509,-68.44592641427585
109000.0,-68.72866617087809,-68.68318550755178,-67.85483116370148
109500.0,-68.05603870929477,-68.3267474018969,-67.75949322006045
110000.0,-65.95662572314073,-66.42574417173748,-66.32942406544504
110500.0,-64.46869224751701,-66.04950394910176,-66.63450548509633
111000.0,-65.67126861822659,-66.52475475664163,-66.38662683162966
111500.0,-67.24073269525437,-67.63367330756795,-67.41627662295275
112000.0,-68.58598761842102,-68.4059558698202,-67.5878849215066
112500.0,-65.8954777720877,-66.56435899060328,-67.43534421168096
113000.0,-66.54772258332002,-67.73268389247208,-68.19804776080917
113500.0,-64.10180454119883,-67.21782885097058,-69.53277897178357
114000.0,-64.6521361006761,-67.53466272266381,-69.78065762525024
114500.0,-63.71453418452964,-65.81187854533184,-67.87389875242968
115000.0,-66.62925318472406,-68.00991353020366,-68.56033194664508
115500.0,-67.87259485613568,-68.24753893397359,-68.12177740589635
116000.0,-65.44705946436548,-66.78218227739238,-67.5878849215066
116500.0,-63.87759538733772,-65.4158362057153,-66.92051931601941
117000.0,-62.02277420539581,-64.72276211138634,-67.54974974405019
117500.0,-62.73616696768116,-64.96038751515627,-67.03492484838864
118000.0,-63.61262093277459,-65.1980129189262,-66.50103236399889
118500.0,-65.18208500980235,-65.67326372646605,-65.89086952469631
119000.0,-64.67251875102711,-62.66334194538031,-62.55404149726034
119500.0,-66.6904011357771,-65.83168066231266,-64.93749008828603
120000.0,-70.68540060457505,-67.81189236039539,-64.80401696718859
120500.0,-63.89797803768873,-65.13860656798371,-65.89086952469631
121000.0,-64.52984019857004,-65.7128679604277,-66.48196477527068
121500.0,-66.83307968823416,-66.7227759264499,-66.29128888798863
122000.0,-65.14131970910033,-64.74256422836717,-64.95655767701423
122500.0,-65.81394717068366,-66.26732723589086,-66.15781576689119
123000.0,-64.69290140137812,-65.9306912472168,-66.59637030763992
123500.0,-69.31976303105738,-66.86139074531569,-64.28919207152704
124000.0,-65.40629416366346,-65.91088913023597,-65.71926122614246
124500.0,-65.8954777720877,-66.4455462887183,-66.40569442035786
125000.0,-68.48407436666596,-67.29703731889389,-65.81459916978349
125500.0,-66.34389607980992,-66.10891030004424,-65.90993711342452
126000.0,-66.3031307791079,-66.70297380946907,-66.34849165417324
126500.0,-62.24698335925692,-64.06929225101905,-65.75739640359888
127000.0,-65.05978910769629,-66.18811876796755,-66.67264066255274
127500.0,-65.8954777720877,-65.85148277929349,-65.75739640359888
128000.0,-67.68915100297659,-67.41585002077885,-66.57730271891171
128500.0,-68.66751821982506,-67.71288177549125,-66.42476200908607
129000.0,-68.48407436666596,-65.07920021704123,-62.70658220708599
129500.0,-63.44955972996651,-63.93067743215325,-64.53707072499371
130000.0,-61.10555493960036,-62.3663101906679,-63.98411065187575
130500.0,-63.85721273698671,-63.33661392272844,-63.06886639292189
131000.0,-65.38591151331245,-63.8910731981916,-62.82098773945522
131500.0,-71.31726276545635,-66.62376534154576,-62.30616284379367
132000.0,-63.77568213558267,-62.90096734915024,-62.630311852173165
132500.0,-60.453310128368045,-61.534621277473164,-63.640894054768054
133000.0,-62.14507010750187,-62.86136311518858,-64.17478653915781
133500.0,-63.46994238031752,-63.33661392272844,-63.86970511950652
134000.0,-65.14131970910033,-64.36632400573146,-64.17478653915781
134500.0,-66.36427873016093,-64.78216846232883,-63.83156994205011
135000.0,-65.34514621261043,-64.16830283592319,-64.06038100678857
135500.0,-66.58848788402204,-64.86137693025213,-64.06038100678857
136000.0,-65.36552886296144,-64.40592823969311,-64.02224582933216
136500.0,-58.88384605134028,-61.43561069256903,-64.42266519262448
137000.0,-58.088922687650886,-61.07917258691413,-64.30825966025525
137500.0,-61.35014674381248,-62.08908055293632,-62.668447029629576
138000.0,-61.30938144311046,-60.40590060956601,-60.18966049496285
138500.0,-64.59098814962307,-62.584133477457,-60.494741914614146
139000.0,-66.87384498893618,-63.59404144347919,-60.47567432588594
139500.0,-66.506957282618,-63.712854145364155,-61.10490475391672
140000.0,-63.73491683488065,-61.97026785105136,-60.837958511721844
140500.0,-61.32976409346147,-61.79204879822392,-62.30616284379367
141000.0,-61.37052939416349,-61.65343397935813,-62.058284190327
141500.0,-59.14882050590341,-60.08906673787278,-61.467188939752624
